old_package_id,old_package_name,old_package_type,old_price,customer_references,new_package_id,new_package_name,new_package_type,new_price,match_score,confidence
213,VK TAMIL SILVER PACK NEW + Zee Prime Pack Tamil SD,MSO_PACKAGE,260.00,2,561,Zee Prime Pack Tamil SD,BROADCAST,31.20,0.625,REVIEW
214,VK TAMIL SILVER PACK NEW,MSO_PACKAGE,250.00,2,582,VK TAMIL SILVER PACK NEW,ADDON,215.02,1.000,EXACT
215,"Unite8 Sports 1 Hd, Unite8 Sports 2 Hd",MSO_PACKAGE,20.00,1,826,Unite8 Sports 1 Hd,ALACARTE,8.00,0.800,REVIEW
216,basic + KTV 19.00 + SUN TV,MSO_PACKAGE,220.00,1,800,SUN TV,ALACARTE,25.00,0.333,REVIEW
217,disney package,MSO_PACKAGE,25.00,2,632,DISNEY,ALACARTE,17.00,0.500,REVIEW
218,VK TAMIL - Node Power,MSO_PACKAGE,150.00,1,581,VK TAMIL,ADDON,300.00,0.500,REVIEW
219,vk ONE+ Disney Kids Pack,MSO_PACKAGE,320.00,1,488,Disney Kids Pack,BROADCAST,22.10,0.696,REVIEW
220,GEMINI MOVIES,MSO_PACKAGE,25.00,1,655,GEMINI MOVIES,ALACARTE,25.00,1.000,EXACT
221,BASIC,MSO_PACKAGE,170.00,1,562,BASIC PACK 2,ADDON,5.00,0.417,REVIEW
222,BASIC TIER NEW + STAR VIJAY + ZEE TAMIL,MSO_PACKAGE,230.00,1,794,STAR VIJAY,ALACARTE,25.00,0.286,REVIEW
223,GEMINI TV  MAA MOVIES,MSO_PACKAGE,50.00,1,655,GEMINI MOVIES,ALACARTE,25.00,0.500,REVIEW
224,K TAMIL ONE + GEMINI LIFE + SURYA TV + GEMINI TV HD + ASIANET + Star Sports SELECT 1 + FLOWERS TV,MSO_PACKAGE,400.00,1,783,Star Sports HD 1 Tamil,ALACARTE,25.00,0.357,REVIEW
225,STAR SPORTS HD1  STAR SPORTS HD2,MSO_PACKAGE,50.00,1,784,STAR SPORTS HD1,ALACARTE,25.00,0.750,REVIEW
226,VK MEGA HD PACK + STAR SPORTS SELECT HD1 + STAR SPORTS SELECT HD2 + MTV,MSO_PACKAGE,435.00,1,579,VK MEGA HD PACK,ADDON,400.00,0.400,REVIEW
227,K Telugu Tamil Prime SD,MSO_PACKAGE,390.00,9,574,K Telugu Tamil Prime SD,ADDON,360.00,1.000,EXACT
228,K TAMIL ONE + Super Hungama,MSO_PACKAGE,305.00,3,802,Super Hungama,ALACARTE,8.00,0.520,REVIEW
229,Legacy CATV Package,MSO_PACKAGE,0.00,13,586,&TV,ALACARTE,15.00,0.105,REVIEW
230,BASIC PACK 2,MSO_PACKAGE,5.00,3,562,BASIC PACK 2,ADDON,5.00,1.000,EXACT
231,K Malayalam Tamil Prime SD,MSO_PACKAGE,390.00,6,572,K Malayalam Tamil Prime SD,ADDON,360.00,1.000,EXACT
232,K TAMIL ONE + STAR SPORTS 1,MSO_PACKAGE,325.00,1,771,Star Sports 1 Tamil,ALACARTE,25.00,0.667,REVIEW
